"Method","Mean_Abs_SMD","Max_Abs_SMD","OVL"
"ps_threshold",1.2965221047076,5.10160121635535,0.115335902180709
"common_range",0.720858395966872,2.31486236562876,0.190843867647046
"stuermer",0.285077314237529,0.697555273268454,0.442480054097501
"walker",0.273215811867936,0.735341837544881,0.443241862365365
"crump",0.381397242621817,0.929713738681153,0.440454708535295
"nn_ps_threshold",0.134823637049405,0.350471405136631,0.607733626250751
"nn_common_range",0.114634263089772,0.294347635900056,0.598454245150369
"nn_stuermer",0.114894781515382,0.280846795297599,0.795491719677228
"nn_walker",0.0916016777322127,0.167430583301517,0.820878139290675
"nn_crump",0.107878312480835,0.381613131926674,0.635286327726538
"k2_ps_threshold",0.100239609129982,0.28682858778595,0.552946847911154
"k2_common_range",0.083287432174053,0.197729520356755,0.549160506801459
"k2_stuermer",0.0848720206189221,0.237159516029084,0.785259123406476
"k2_walker",0.0887145712147421,0.21894768585583,0.850017480078199
"k2_crump",0.0754264748818712,0.269456101689689,0.570457589374811
"k3_ps_threshold",0.0879741059141718,0.280144638931768,0.523094772551536
"k3_common_range",0.0775359738175798,0.213089864452265,0.510066076073949
"k3_stuermer",0.092519315274429,0.291941977334048,0.725757860272393
"k3_walker",0.0813788033851692,0.191471897826863,0.810881142244948
"k3_crump",0.0658908864899864,0.24106780772929,0.548783876915815
"caliper_ps_threshold",0.110847991096734,0.298143149254754,0.617481731153234
"caliper_common_range",0.106985855681625,0.284864563225833,0.598718351194691
"caliper_stuermer",0.109965025897316,0.292848795096642,0.768017303783105
"caliper_walker",0.0937852747213309,0.199204768222399,0.804692071728135
"caliper_crump",0.107665945829316,0.384010167302626,0.634720767756124
"cs_ps_threshold",0.153640359724228,0.428195761405203,0.616610991054159
"cs_common_range",0.117239398653709,0.293760115668719,0.60557536853278
"cs_stuermer",0.0530241392313677,0.104017331591703,0.790852459041741
"cs_walker",0.0773574921297228,0.259280154302956,0.818748438391905
"cs_crump",0.0783669679293519,0.218504810946745,0.617219054690277
"mahvars_ps_threshold",0.327554722306119,1.11890793034968,0.45563525829221
"mahvars_common_range",0.318469066273319,1.04325682330239,0.447107969474756
"mahvars_stuermer",0.0671110730198432,0.213301383140665,0.790222474465566
"mahvars_walker",0.0786204125717306,0.21894768585583,0.82511509915549
"mahvars_crump",0.334533712614091,0.839443833630153,0.458130303270896
"optimal_pair_ps_threshold",0.306372996064693,1.22856827200585,0.478033754485483
"optimal_pair_common_range",0.332282881756483,1.29510417875985,0.456629218479961
"optimal_pair_stuermer",0.105269388003417,0.264008114272389,0.831345176564588
"optimal_pair_walker",0.126135981182703,0.433823717462113,0.85861326793679
"optimal_pair_crump",0.450598088881788,1.72060704995285,0.457996398352471
"optimal_full_ps_threshold",0.116196813195654,0.300935390810453,0.115335902180709
"optimal_full_common_range",0.11033530040742,0.263941311272963,0.190843867647046
"optimal_full_stuermer",0.0805270178503121,0.260988921317184,0.442480054097501
"optimal_full_walker",0.0660645964327955,0.130955854749213,0.443241862365365
"optimal_full_crump",0.0937357557341579,0.296217909524852,0.440454708535295
"genetic_ps_threshold",0.0593404136161943,0.196360187400568,0.587107500720265
"genetic_common_range",0.0529775409233368,0.172367236730856,0.58146693943524
"genetic_stuermer",0.0420404573496364,0.208074816912382,0.797068862584836
"genetic_walker",0.0520815827638128,0.248971854977746,0.867548856102531
"genetic_crump",0.0494113608640752,0.218373609305856,0.59847524624795
"exact_ps_threshold",5.44009282066327e-16,3.5527136788005e-15,0.58260162780413
"exact_common_range",5.39845945723982e-16,3.5527136788005e-15,0.753538969412673
"exact_crump",0,0,0.111712825090691
"cem_ps_threshold",0.0832573301756551,0.600939187890196,0.563327693846668
"cem_common_range",0.0309771809454833,0.162989652399039,0.614261381201773
"cem_stuermer",0.0567038123982657,0.319091381794388,0.609618102539594
"cem_walker",0.0424829688031562,0.202881619678554,0.824453256487466
"cem_crump",0.024285385740858,0.105910157544432,0.788148821289786
"subcl_ps_threshold",0.384467344689414,1.6452295019703,0.115335902180709
"subcl_common_range",0.223695380014749,0.728437235003284,0.190843867647046
"subcl_stuermer",0.106613738653792,0.25827787856323,0.442480054097501
"subcl_walker",0.0779840783422911,0.223003797456001,0.443241862365365
"subcl_crump",0.146433279196238,0.345393039986619,0.440454708535295
