"Method","Mean_Abs_SMD","Max_Abs_SMD","OVL"
"ps_threshold",1.08721356547573,3.76446218836122,0.344721999766653
"common_range",1.08721356547573,3.76446218836122,0.344721999766653
"stuermer",0.261689854204325,0.609492179797441,0.29301142784697
"walker",0.121442207359272,0.296328556916732,0.546660071596822
"crump",0.208284289107517,0.552127309746176,0.604167588960388
"nn_ps_threshold",0.0306127613816718,0.11344469023285,0.653106330517143
"nn_common_range",0.0306127613816718,0.11344469023285,0.653106330517143
"nn_stuermer",0.0762083779076086,0.235330968076352,0.718075037156178
"nn_walker",0.0893146177472586,0.269180297174207,0.699654882279418
"nn_crump",0.0326148786145035,0.100431438726015,0.769222171518519
"k2_ps_threshold",0.0362296094647951,0.119633208099825,0.618675293460366
"k2_common_range",0.0362296094647951,0.119633208099825,0.618675293460366
"k2_stuermer",0.0755200779638778,0.292177730338281,0.691074643422215
"k2_walker",0.0853542868782767,0.196708678704228,0.632305156579848
"k2_crump",0.0270415680180279,0.0842794666219384,0.771654193687971
"k3_ps_threshold",0.0427417429351806,0.125458045947382,0.579328404470732
"k3_common_range",0.0427417429351806,0.125458045947382,0.579328404470732
"k3_stuermer",0.0330102232303302,0.117919263365225,0.660924068972223
"k3_walker",0.0499519089652686,0.112631589967293,0.661592206303345
"k3_crump",0.0258938709498599,0.0925743929356406,0.711037690181966
"caliper_ps_threshold",0.0314082054550383,0.115951755210371,0.66120535342049
"caliper_common_range",0.0314082054550383,0.115951755210371,0.66120535342049
"caliper_stuermer",0.0806267610503108,0.273332561439792,0.713910880109355
"caliper_walker",0.0868000245441747,0.245989379263815,0.632378009346777
"caliper_crump",0.0326148786145035,0.100431438726015,0.769222171518519
"cs_ps_threshold",0.0524721642608464,0.22851286940416,0.674931407150861
"cs_common_range",0.0524721642608464,0.22851286940416,0.674931407150861
"cs_stuermer",0.112182458099961,0.505742618433079,0.744340130210999
"cs_walker",0.124195087490008,0.436738321889041,0.742541145850902
"cs_crump",0.0311938564729029,0.0847034282761041,0.787316226756407
"mahvars_ps_threshold",0.0820087894018124,0.16710242501622,0.737679606780473
"mahvars_common_range",0.0820087894018124,0.16710242501622,0.737679606780473
"mahvars_stuermer",0.0237452889721726,0.162466540636533,0.75731158427584
"mahvars_walker",0.0188077314620079,0.0906667057905134,0.409920448867546
"mahvars_crump",0.0961425638084409,0.279485785836963,0.761760372715227
"optimal_pair_ps_threshold",0.0443550019687205,0.151849554104654,0.725305084083385
"optimal_pair_common_range",0.0443550019687205,0.151849554104654,0.725305084083385
"optimal_pair_stuermer",0.0720316657665205,0.217161355821525,0.628830279051088
"optimal_pair_walker",0.122442081089316,0.421849515461006,0.727360775968866
"optimal_pair_crump",0.071656992114973,0.225376402997713,0.76504558267752
"optimal_full_ps_threshold",0.0259295118639758,0.125141140160043,0.344721999766653
"optimal_full_common_range",0.0259295118639758,0.125141140160043,0.344721999766653
"optimal_full_stuermer",0.0402485725045837,0.083444577412976,0.29301142784697
"optimal_full_walker",0.0528141959906544,0.121417483703799,0.546660071596822
"optimal_full_crump",0.0283022611609722,0.0944847749659622,0.604167588960388
"genetic_ps_threshold",0.00785318573114473,0.0295722536875979,0.744699051568834
"genetic_common_range",0.00894027932647293,0.0295722536875962,0.751534899789182
"genetic_stuermer",0.00503699000363669,0.0282397161691633,0.727917701924539
"genetic_walker",0.0189709787068327,0.110550481387914,0.431311758152687
"genetic_crump",0.00451542596935241,0.0181102052524513,0.850933186077787
"exact_ps_threshold",1.77635683940025e-16,1.77635683940025e-15,0.481274754992739
"exact_common_range",1.77635683940025e-16,1.77635683940025e-15,0.481274754992739
"exact_stuermer",0,0,0.275803834330231
"exact_walker",0,0,1.97525483607081e-16
"exact_crump",3.56659146660832e-16,3.5527136788005e-15,0.356890413308641
"cem_ps_threshold",0.00555500146984742,0.0242246236441346,0.468569673492348
"cem_common_range",0.00555500146984742,0.0242246236441346,0.468569673492348
"cem_stuermer",0.0162767352741939,0.0619990898738376,0.819378591149262
"cem_walker",0.0133820199535593,0.0758153695743388,0.439822223377995
"cem_crump",0.0143087003804309,0.050227763989723,0.694224690259405
"subcl_ps_threshold",0.29232506349671,1.08281983669698,0.344721999766653
"subcl_common_range",0.29232506349671,1.08281983669698,0.344721999766653
"subcl_stuermer",0.0425206695888527,0.157067587434513,0.29301142784697
"subcl_walker",0.0770623452024631,0.297188713288785,0.546660071596822
"subcl_crump",0.0388253190368202,0.143764742496662,0.604167588960388
