"Method","Mean_Abs_SMD","Max_Abs_SMD","OVL"
"ps_threshold",1.06539943046212,5.05680908096966,0.123157432330089
"common_range",0.54713170422739,1.91457458300623,0.224364680646259
"stuermer",0.295587729848502,0.936362079237736,0.45948387145812
"walker",0.258733531547648,0.575413937831502,0.538442520701769
"crump",0.458462807825764,1.50948597301217,0.341353643066116
"nn_ps_threshold",0.104299896500642,0.331827095936366,0.579047251865467
"nn_common_range",0.124019247860915,0.310728474307936,0.587583826139125
"nn_stuermer",0.0852927674827371,0.22299168134717,0.846211079604773
"nn_walker",0.102606503992769,0.335602022466653,0.793988281151819
"nn_crump",0.0787224888563021,0.293809261067301,0.583481247723167
"k2_ps_threshold",0.102212902886027,0.299416667950218,0.536988257367849
"k2_common_range",0.103982268596538,0.263499720983895,0.542461620006488
"k2_stuermer",0.0977159005505499,0.185826401122642,0.828661703638931
"k2_walker",0.0869532203605763,0.195330864638794,0.875043695856436
"k2_crump",0.0603113319704819,0.216720692569444,0.520294748734556
"k3_ps_threshold",0.0925345638312245,0.300297305208895,0.508264435633217
"k3_common_range",0.0880811210749002,0.267549266245439,0.501367790152343
"k3_stuermer",0.0789723979584962,0.138364779874214,0.799497239230098
"k3_walker",0.0571910994693624,0.102791530280524,0.888117523723896
"k3_crump",0.0574674591322981,0.190054835541884,0.490621150967526
"caliper_ps_threshold",0.0714150464257838,0.241938657021934,0.602112436247171
"caliper_common_range",0.0985440221152598,0.237999747985454,0.592826047521807
"caliper_stuermer",0.0632676616458791,0.210996122261311,0.841682143071401
"caliper_walker",0.0785800158385709,0.281998921656007,0.7887587357685
"caliper_crump",0.0758066787794993,0.284311192386729,0.584168857005902
"cs_ps_threshold",0.0799289138752146,0.263021491584827,0.585999903612272
"cs_common_range",0.137189414185289,0.357025906392178,0.595140587010448
"cs_stuermer",0.073946948690755,0.224176928170858,0.880899071414871
"cs_walker",0.0788999595280078,0.137162981320683,0.830480805746583
"cs_crump",0.0804764850527415,0.275426467624643,0.575399631413882
"mahvars_ps_threshold",0.31760902168333,1.28422099039728,0.451315514924318
"mahvars_common_range",0.275619329957694,1.02341458791578,0.460790987073228
"mahvars_stuermer",0.0550885509336882,0.152120058401653,0.88387710207827
"mahvars_walker",0.0574589340026324,0.21761693644322,0.834863576104471
"mahvars_crump",0.344167080657924,1.1826854230027,0.403173652852712
"optimal_pair_ps_threshold",0.293972209024934,1.192545144684,0.473242014991839
"optimal_pair_common_range",0.320301869770344,1.28130358044258,0.455724153994123
"optimal_pair_stuermer",0.0858023842459514,0.132075471698113,0.880108265878396
"optimal_pair_walker",0.0443639359125756,0.223343025478748,0.865235311301795
"optimal_pair_crump",0.431099840316766,1.72166870146538,0.405167002579407
"optimal_full_ps_threshold",0.0907635424615788,0.299448514449953,0.123157432330089
"optimal_full_common_range",0.125745712665104,0.335532220167284,0.224364680646259
"optimal_full_stuermer",0.0819530437733202,0.193773093077059,0.45948387145812
"optimal_full_walker",0.049473511897581,0.0770710161214037,0.538442520701769
"optimal_full_crump",0.0804146395843872,0.258157883391044,0.341353643066116
"genetic_ps_threshold",0.0833019328911314,0.251385560908479,0.606713561138618
"genetic_common_range",0.0568876431037325,0.203502457113318,0.589710318479547
"genetic_stuermer",0.0399788530603269,0.162077011120197,0.877272309897636
"genetic_walker",0.0554278576135857,0.196604610043716,0.83090238038132
"genetic_crump",0.0664506102048129,0.24373793512004,0.547678352507595
"exact_ps_threshold",1.85037170770859e-17,1.11022302462516e-16,0.691041329739709
"exact_common_range",2.09708793540307e-16,1.77635683940025e-15,0.642790971540191
"exact_stuermer",0,0,NA
"exact_walker",0,0,NA
"exact_crump",2.62135991925384e-17,1.11022302462516e-16,0.554365466266598
"cem_ps_threshold",0.0658110168618678,0.548426413655036,0.50187877697845
"cem_common_range",0.0314576189498089,0.255560547445014,0.506462179538237
"cem_stuermer",0.0445991543318337,0.378683401686858,0.75797396973726
"cem_walker",0.0345197953982701,0.275327653198977,0.739668662540253
"cem_crump",0.035682492965506,0.289495633026925,0.660212354904575
"subcl_ps_threshold",0.297947465223947,1.58481397418829,0.123157432330089
"subcl_common_range",0.182301308068398,0.610831023026583,0.224364680646259
"subcl_stuermer",0.0793915999340098,0.317473930138731,0.45948387145812
"subcl_walker",0.075157133794532,0.192143833978067,0.538442520701769
"subcl_crump",0.179899896214657,0.525866342971418,0.341353643066116
