"Method","Mean_Abs_SMD","Max_Abs_SMD","OVL"
"ps_threshold",0.936952324953091,3.76446218836122,0.34949614168438
"common_range",0.564873860005298,1.78470212790534,0.157307931734369
"stuermer",0.305925503641558,0.654773297815916,0.292243647571966
"walker",0.165313162553217,0.362724242233311,0.501092241555053
"crump",0.250354209669224,0.628466281059179,0.489070929839363
"nn_ps_threshold",0.0587421487175094,0.266150283188374,0.657166577466421
"nn_common_range",0.0669174958581722,0.376374137842145,0.675463121128016
"nn_stuermer",0.0811610414149397,0.236755703706456,0.690052887996517
"nn_walker",0.133987180174567,0.440738237789955,0.716918635979205
"nn_crump",0.0379000097574285,0.209442908560033,0.781697091941851
"k2_ps_threshold",0.0628936701010477,0.254052543043448,0.614999446288561
"k2_common_range",0.0683781643892835,0.274215443284992,0.635257362557309
"k2_stuermer",0.0538881835821425,0.100647511886093,0.667046696907451
"k2_walker",0.0954600623475285,0.240915843197611,0.725968371124245
"k2_crump",0.028753496155614,0.0883609702125418,0.704365668427958
"k3_ps_threshold",0.056490524298516,0.202525131315058,0.570764649370023
"k3_common_range",0.0610069820116624,0.262565767589878,0.600602440136375
"k3_stuermer",0.0320265430946559,0.0714285714285715,0.672618334566967
"k3_walker",0.0587443308530849,0.195910459485434,0.728243928681892
"k3_crump",0.0362260732971069,0.134897747857814,0.638829548505454
"caliper_ps_threshold",0.0619322769353515,0.223243020477392,0.671022489180761
"caliper_common_range",0.0669868531080793,0.37711270561656,0.681733200450732
"caliper_stuermer",0.0668041639389265,0.147314660084016,0.678611452456277
"caliper_walker",0.133987180174567,0.440738237789955,0.716918635979205
"caliper_crump",0.0379000097574285,0.209442908560033,0.781697091941851
"cs_ps_threshold",0.0513347564271759,0.182810295523328,0.669363942200134
"cs_common_range",0.0595129162142142,0.306476083671462,0.672094782008738
"cs_stuermer",0.0635723688813922,0.312517528892521,0.643841366133672
"cs_walker",0.0889565277716456,0.153846153846154,0.757596732689654
"cs_crump",0.0320058422966356,0.0689215567657823,0.726138940606059
"mahvars_ps_threshold",0.0749626669583274,0.18962307502621,0.73622592382264
"mahvars_common_range",0.0581787593693277,0.250831606747477,0.739802100682349
"mahvars_stuermer",0.0239015939492625,0.141938798813722,0.659565895204403
"mahvars_walker",0.00681682183436581,0.0380960857421354,0.284369808639267
"mahvars_crump",0.0742829049380554,0.215043759295689,0.756318770852231
"optimal_pair_ps_threshold",0.0572173461524239,0.142484495040241,0.711652358707032
"optimal_pair_common_range",0.0602675863956059,0.128260494575467,0.722572596144186
"optimal_pair_stuermer",0.0453890313236872,0.129035271648838,0.754062112942382
"optimal_pair_walker",0.130102893217743,0.308516766452968,0.734514389085647
"optimal_pair_crump",0.0421020528893396,0.138681992900625,0.743320284631227
"optimal_full_ps_threshold",0.0487905375006068,0.235623579455333,0.34949614168438
"optimal_full_common_range",0.0510324706554086,0.274575199873311,0.157307931734369
"optimal_full_stuermer",0.040596166684375,0.184041723146823,0.292243647571966
"optimal_full_walker",0.0262874143868012,0.0884422729525371,0.501092241555053
"optimal_full_crump",0.0300149989430425,0.122159395973516,0.489070929839363
"genetic_ps_threshold",0.00386962150659983,0.0161303201932351,0.761751152443706
"genetic_common_range",0.00392593818215305,0.0161303201932351,0.762190606961787
"genetic_stuermer",0.00673290018793749,0.0258070543297674,0.660209077625429
"genetic_walker",0.00677805795210819,0.0440738237789953,0.326252447922588
"genetic_crump",0.00409159714164726,0.0106033164255057,0.82026031403903
"exact_ps_threshold",1.97372982155583e-16,1.77635683940025e-15,0.472186355137236
"exact_common_range",1.97372982155583e-16,1.77635683940025e-15,0.462143946604078
"exact_stuermer",0,0,0.253240286393966
"exact_walker",0,0,NA
"exact_crump",4.07081775695891e-16,3.5527136788005e-15,0.313109773482244
"cem_ps_threshold",0.00369958603501776,0.0238072420476839,0.46265161370115
"cem_common_range",0.0080044125087217,0.0408902688682546,0.477854458097594
"cem_stuermer",0.00698379427654198,0.0287591066297766,0.736986927434307
"cem_walker",0.00956449158820176,0.038684872363881,0.351336565401314
"cem_crump",0.0134665906141764,0.0558041050401084,0.652850732300795
"subcl_ps_threshold",0.250778509055157,1.09690380781093,0.34949614168438
"subcl_common_range",0.1356461586214,0.435834278157381,0.157307931734369
"subcl_stuermer",0.047782921321449,0.135845966790117,0.292243647571966
"subcl_walker",0.0829151722587074,0.241642599406172,0.501092241555053
"subcl_crump",0.0322343938985617,0.0827038185714467,0.489070929839363
